year,city,country,avg_temp
1820,Houston,United States,19.11
1821,Houston,United States,19.57
1822,Houston,United States,20.05
1823,Houston,United States,19.62
1824,Houston,United States,20.19
1825,Houston,United States,20.44
1826,Houston,United States,20.17
1827,Houston,United States,20.83
1828,Houston,United States,20.41
1829,Houston,United States,20.00
1830,Houston,United States,20.72
1831,Houston,United States,19.25
1832,Houston,United States,19.89
1833,Houston,United States,20.32
1834,Houston,United States,20.56
1835,Houston,United States,18.62
1836,Houston,United States,19.01
1837,Houston,United States,19.68
1838,Houston,United States,18.77
1839,Houston,United States,19.68
1840,Houston,United States,19.85
1841,Houston,United States,19.88
1842,Houston,United States,20.12
1843,Houston,United States,19.84
1844,Houston,United States,20.05
1845,Houston,United States,19.68
1846,Houston,United States,20.24
1847,Houston,United States,19.45
1848,Houston,United States,19.70
1849,Houston,United States,20.35
1850,Houston,United States,20.14
1851,Houston,United States,20.03
1852,Houston,United States,19.81
1853,Houston,United States,19.22
1854,Houston,United States,19.87
1855,Houston,United States,19.55
1856,Houston,United States,19.15
1857,Houston,United States,19.52
1858,Houston,United States,19.99
1859,Houston,United States,20.22
1860,Houston,United States,20.31
1861,Houston,United States,20.47
1862,Houston,United States,20.53
1863,Houston,United States,20.01
1864,Houston,United States,19.55
1865,Houston,United States,20.15
1866,Houston,United States,20.01
1867,Houston,United States,20.75
1868,Houston,United States,19.80
1869,Houston,United States,19.45
1870,Houston,United States,19.95
1871,Houston,United States,20.44
1872,Houston,United States,19.71
1873,Houston,United States,19.67
1874,Houston,United States,20.37
1875,Houston,United States,19.81
1876,Houston,United States,19.90
1877,Houston,United States,19.60
1878,Houston,United States,20.04
1879,Houston,United States,20.48
1880,Houston,United States,19.82
1881,Houston,United States,20.14
1882,Houston,United States,20.47
1883,Houston,United States,20.26
1884,Houston,United States,19.92
1885,Houston,United States,19.51
1886,Houston,United States,19.25
1887,Houston,United States,19.97
1888,Houston,United States,19.58
1889,Houston,United States,19.79
1890,Houston,United States,20.60
1891,Houston,United States,19.65
1892,Houston,United States,19.82
1893,Houston,United States,20.14
1894,Houston,United States,20.16
1895,Houston,United States,19.26
1896,Houston,United States,20.48
1897,Houston,United States,20.29
1898,Houston,United States,19.62
1899,Houston,United States,19.73
1900,Houston,United States,20.04
1901,Houston,United States,19.87
1902,Houston,United States,20.34
1903,Houston,United States,19.04
1904,Houston,United States,20.05
1905,Houston,United States,19.67
1906,Houston,United States,20.08
1907,Houston,United States,20.80
1908,Houston,United States,20.57
1909,Houston,United States,20.60
1910,Houston,United States,20.31
1911,Houston,United States,20.96
1912,Houston,United States,19.45
1913,Houston,United States,19.58
1914,Houston,United States,19.49
1915,Houston,United States,20.05
1916,Houston,United States,20.65
1917,Houston,United States,19.96
1918,Houston,United States,20.18
1919,Houston,United States,19.74
1920,Houston,United States,19.93
1921,Houston,United States,21.29
1922,Houston,United States,20.78
1923,Houston,United States,20.41
1924,Houston,United States,19.79
1925,Houston,United States,20.59
1926,Houston,United States,19.92
1927,Houston,United States,21.39
1928,Houston,United States,20.07
1929,Houston,United States,19.99
1930,Houston,United States,19.85
1931,Houston,United States,20.44
1932,Houston,United States,20.31
1933,Houston,United States,21.66
1934,Houston,United States,20.96
1935,Houston,United States,20.69
1936,Houston,United States,19.57
1937,Houston,United States,20.29
1938,Houston,United States,20.95
1939,Houston,United States,20.82
1940,Houston,United States,19.46
1941,Houston,United States,20.19
1942,Houston,United States,19.99
1943,Houston,United States,20.19
1944,Houston,United States,20.49
1945,Houston,United States,20.86
1946,Houston,United States,20.72
1947,Houston,United States,19.95
1948,Houston,United States,20.52
1949,Houston,United States,20.74
1950,Houston,United States,21.16
1951,Houston,United States,20.93
1952,Houston,United States,20.30
1953,Houston,United States,20.72
1954,Houston,United States,21.23
1955,Houston,United States,20.82
1956,Houston,United States,21.07
1957,Houston,United States,20.79
1958,Houston,United States,20.01
1959,Houston,United States,19.91
1960,Houston,United States,19.75
1961,Houston,United States,19.84
1962,Houston,United States,20.57
1963,Houston,United States,20.49
1964,Houston,United States,20.28
1965,Houston,United States,20.73
1966,Houston,United States,19.77
1967,Houston,United States,20.56
1968,Houston,United States,19.53
1969,Houston,United States,20.43
1970,Houston,United States,19.82
1971,Houston,United States,20.95
1972,Houston,United States,20.39
1973,Houston,United States,20.12
1974,Houston,United States,20.39
1975,Houston,United States,20.29
1976,Houston,United States,19.39
1977,Houston,United States,20.49
1978,Houston,United States,19.82
1979,Houston,United States,19.39
1980,Houston,United States,20.48
1981,Houston,United States,20.63
1982,Houston,United States,20.65
1983,Houston,United States,19.38
1984,Houston,United States,20.61
1985,Houston,United States,20.39
1986,Houston,United States,20.91
1987,Houston,United States,20.17
1988,Houston,United States,20.37
1989,Houston,United States,19.94
1990,Houston,United States,21.30
1991,Houston,United States,20.59
1992,Houston,United States,20.38
1993,Houston,United States,20.10
1994,Houston,United States,20.69
1995,Houston,United States,20.78
1996,Houston,United States,20.74
1997,Houston,United States,20.14
1998,Houston,United States,21.74
1999,Houston,United States,21.65
2000,Houston,United States,21.34
2001,Houston,United States,20.64
2002,Houston,United States,20.67
2003,Houston,United States,20.69
2004,Houston,United States,20.98
2005,Houston,United States,21.23
2006,Houston,United States,21.46
2007,Houston,United States,20.71
2008,Houston,United States,21.01
2009,Houston,United States,21.11
2010,Houston,United States,20.43
2011,Houston,United States,21.69
2012,Houston,United States,21.86
2013,Houston,United States,22.28
